Name of station,D.O mg/L,pH,Conductivity m mhos/cm,BOD at 27 C mg/L,Nitrate mg/L,Nitrite mg/L,Fecal coliform MPN/100,Total coliform MPN/100,Turbidity NTU,Phenophthaline Alkalinity,Total Alkalinity,Chloride,COD,Total Kjeldahl Nitrogen,"Ammonia-N,as N",Hardness as CaCO3,Calcium as Ca++,Magnesium as Mg++,Sulphate,Sodium,Total Dissolved Solids,Total Fixed Solids,Total Suspended Solids,Phosphate,Boron,Potassium,Fluoride,DBU Class
'Pudur'," '5.39'"," '7.60'"," '476'"," '4'"," '0.220'"," '0.200'"," '160.2'"," '401'"," '9.7'"," '9'"," '158'"," '55'"," '30'"," '4'"," '2.00'"," '135'"," '48'"," '50'"," '10'"," '48'"," '332'"," '300'"," '17'"," '0.160'"," '<0.002'"," '4.7'"," '0.610'"," 'D'"
'Vairapalayam'," '5.76'"," '7.84'"," '458'"," '3'"," '0.271'"," '0.036'"," '170'"," '418'"," '9.49'"," '7.3'"," '161.6'"," '59'"," '25'"," '3.17'"," '1.37'"," '143'"," '57'"," '51'"," '12'"," '47'"," '332'"," '304'"," '31'"," '0.196'"," '<0.002'"," '4.8'"," '0.702'"," 'B'"
'P.Velur'," '6.49'"," '7.88'"," '568'"," '<2'"," '0.230'"," '0.090'"," '146'"," '355'"," '16'"," '11'"," '172'"," '79'"," '15'"," '2.8'"," '1.26'"," '164'"," '57'"," '65'"," '25'"," '60'"," '384'"," '362'"," '20'"," '0.310'"," '<0.002'"," '5.4'"," '0.590'"," 'B'"
'Mohanur'," '6.22'"," '7.87'"," '643.8'"," '<2'"," '0.250'"," '0.060'"," '151'"," '375'"," '15.9'"," '13'"," '174'"," '92'"," '16'"," '2.85'"," '1.31'"," '196'"," '69'"," '82'"," '29'"," '69'"," '447'"," '423'"," '20'"," '0.3'"," '<0.002'"," '6.7'"," '0.980'"," 'B'"
'Madathukulam'," '5.88'"," '7.25'"," '332'"," '<2'"," '0.328'"," '0.011'"," '34'"," '88'"," '13.5'"," '10'"," '103.6'"," '44.9'"," '14'"," '2.3'"," '1.00'"," '73'"," '65'"," '44'"," '20'"," '22'"," '238'"," '222'"," '21'"," '0.146'"," '<0.002'"," '2.7'"," '0.709'"," 'B'"
'Thirumukkudal'," '6.32'"," '8.00'"," '674'"," '<2'"," '0.220'"," '0.010'"," '127'"," '311'"," '12'"," '16'"," '180'"," '103'"," '16'"," '3.2'"," '1.22'"," '193'"," '72'"," '74'"," '29'"," '79'"," '470'"," '4447'"," '20'"," '0.290'"," '<0.002'"," '6.9'"," '0.990'"," 'B'"
'Trichy U/S'," '6.44'"," '7.82'"," '406'"," '<2'"," '0.760'"," '0.070'"," '227'"," '648'"," '8.7'"," '10.7'"," '143'"," '49'"," '19'"," '2.69'"," '1.23'"," '156.8'"," '76.0'"," '80.0'"," '13.9'"," '36.0'"," '324.8'"," '304.0'"," '11.0'"," '0.120'"," '<0.002'"," '5.4'"," '1.040'"," 'B'"
'Trichy D/S'," '5.80'"," '7.34'"," '483'"," '2'"," '0.920'"," '0.390'"," '315'"," '798'"," '23'"," '9.33'"," '158'"," '62.6'"," '21'"," '3.78'"," '1.68'"," '169.0'"," '77.6'"," '92.0'"," '20.0'"," '44.6'"," '355.0'"," '333.6'"," '29.6'"," '0.290'"," '<0.002'"," '6.3'"," '1.100'"," 'B'"
'Grand Anaicut'," '5.70'"," '7.50'"," '456'"," '2.2'"," '0.880'"," '0.220'"," '108.1'"," '292'"," '13.9'"," '12'"," '152'"," '55.8'"," '19'"," '4.26'"," '1.90'"," '155.6'"," '79.0'"," '76.0'"," '14.0'"," '40.0'"," '337.6'"," '317.6'"," '17.6'"," '0.210'"," '<0.002'"," '5.8'"," '0.940'"," 'B'"
'Coleroon'," '5.90'"," '7.85'"," '25912'"," '<2'"," '0.412'"," '0.033'"," '70'"," '190'"," '22'"," '18'"," '145'"," '7302'"," '85'"," '6'"," '3'"," '2605'"," '298'"," '1370'"," '905'"," '3339'"," '16872'"," '16747'"," '26'"," '0.289'"," '<0.002'"," '108'"," '1.940'"," 'B'"
'Pitchavaram'," '6.20'"," '7.50'"," '3245'"," '2'"," '0.200'"," '0.300'"," '134.7'"," '331'"," '24'"," '11.5'"," '234.7'"," '1033'"," '35'"," '5'"," '2.2'"," '487.7'"," '103.0'"," '113.7'"," '129.0'"," '485.0'"," '2153.7'"," '2105.7'"," '30.0'"," '1.000'"," '<0.002'"," '30.6'"," '0.600'"," 'B'"
'Karunthattankudi'," '6.16'"," '7.85'"," '441'"," '3.2'"," '0.759'"," '0.045'"," '160'"," '390'"," '23.0'"," '12.0'"," '149.0'"," '52.0'"," '24.0'"," '3.5'"," '1.7'"," '144.0'"," '74.0'"," '70.0'"," '19.0'"," '39.0'"," '317.0'"," '395.0'"," '30.0'"," '0.122'"," '<0.002'"," '5.20'"," '0.49'"," 'B'"
'Komarapalayam'," '6.32'"," '7.54'"," '421'"," '<2'"," '0.12'"," '0.180'"," '256'"," '633'"," '15'"," '12'"," '148'"," '49'"," '17'"," '3'"," '1'"," '133'"," '48'"," '46'"," '13'"," '38'"," '298'"," '276'"," '19'"," '0.24'"," '<0.002'"," '4.2'"," '0.64'"," 'B'"
'Urrachikottai'," '6.42'"," '7.99'"," '378'"," '<2'"," '0.16'"," '0.139'"," '76'"," '197'"," '8'"," '18'"," '145'"," '36'"," '15'"," '3'"," '1'"," '136'"," '52'"," '51'"," '14'"," '28'"," '273'"," '255'"," '13'"," '0.18'"," '<0.002'"," '3.5'"," '0.76'"," 'B'"
'Chirampalayam'," '6.55'"," '7.59'"," '374'"," '<2'"," '0.21'"," '0.263'"," '147'"," '418'"," '14'"," '5'"," '142'"," '41'"," '17'"," '3'"," '1'"," '126'"," '50'"," '42'"," '11'"," '29'"," '269'"," '249'"," '17'"," '0.17'"," '<0.002'"," '3.6'"," '0.45'"," 'B'"
'Pugalur'," '6.45'"," '8.00'"," '636'"," '<2'"," '0.20'"," '0.056'"," '125'"," '312'"," '15'"," '15'"," '169'"," '89'"," '17'"," '3'"," '1'"," '194'"," '69'"," '65'"," '32'"," '67'"," '441'"," '419'"," '17'"," '0.31'"," '<0.002'"," '6.5'"," '0.90'"," 'B'"
'Pettavaithalai'," '6.24'"," '7.92'"," '485'"," '<2'"," '0.70'"," '0.043'"," '196'"," '514'"," '10'"," '15'"," '171'"," '63'"," '16'"," '2'"," '1'"," '177'"," '90'"," '107'"," '21'"," '45'"," '363'"," '342'"," '14'"," '0.19'"," '<0.002'"," '6.1'"," '1.16'"," 'B'"
'Kumbakonam'," '6.28'"," '7.93'"," '355'"," '2'"," '0.93'"," '0.022'"," '130'"," '344'"," '15'"," '9'"," '136'"," '41'"," '19'"," '3'"," '1'"," '130'"," '68'"," '62'"," '12'"," '29'"," '268'"," '247'"," '20'"," '0.18'"," '<0.002'"," '4.2'"," '0.33'"," 'B'"
'Mayiladurai'," '5.94'"," '7.65'"," '578'"," '<2'"," '1.16'"," '0.1648'"," '67'"," '135'"," '9'"," '21'"," '206'"," '66'"," '14'"," '3'"," '1'"," '194'"," '78'"," '75'"," '14'"," '58'"," '409'"," '390'"," '14'"," '0.094'"," '<0.002'"," '6.2'"," '0.85'"," 'B"
'Sathiyamanagalam'," '6.12'"," '7.37'"," '226'"," '<2'"," '0.15'"," '0.083'"," '29'"," '81'"," '16'"," '<1'"," '90'"," '23'"," '14'"," '2'"," '1'"," '81'"," '36'"," '29'"," '10'"," '16'"," '177'"," '162'"," '14'"," '0.21'"," '<0.002'"," '3.4'"," '0.54'"," 'B'"
'Thirumanimuthar (Borewell)'," '6.08'"," '7.49'"," '4927'"," '4'"," '3.17'"," '0.428'"," '7009'"," '14187'"," '9'"," '42'"," '443'"," '1442'"," '58'"," '4'"," '2'"," '1209'"," '344'"," '404'"," '109'"," '438'"," '2812'"," '3178'"," '551'"," '2.00'"," '<0.002'"," '17.0'"," '1.58'",'D'
'Sarabanga'," '6.35'"," '8.08'"," '2890'"," '18'"," '5.0'"," '9.00'"," '5675'"," '9362'"," '9'"," '37'"," '585'"," '479'"," '95'"," '8'"," '5'"," '303'"," '82'"," '118'"," '208'"," '487'"," '1892'"," '1777'"," '24'"," '1.00'"," '<0.002'"," '30.0'"," '0.92'"," 'E'"
'Vasista (Borewell)'," '5.85'"," '7.42'"," '3944'"," '<2'"," '1.30'"," '0.519'"," '362'"," '794'"," '8'"," '16'"," '592'"," '912'"," '47'"," '4'"," '2'"," '1050'"," '250'"," '566'"," '148'"," '379'"," '2536'"," '2473'"," '17'"," '1.00'"," '<0.002'"," '13.0'"," '1.39'"," 'B'"
'Kalingalrayan Canal (B5)'," '6.50'"," '7.84'"," '388'"," '<2'"," '0.17'"," '0.017'"," '76'"," '167'"," '14'"," '6'"," '148'"," '38'"," '16'"," '3'"," '1'"," '147'"," '58'"," '65'"," '19'"," '27'"," '286'"," '266'"," '19'"," '0.22'"," '<0.002'"," '3.7'"," '0.62'"," 'B'"
'Kalingalrayan Canal (B10)'," '6.35'"," '7.91'"," '394'"," '<2'"," '0.16'"," '0.017'"," '69'"," '181'"," '12'"," '12'"," '154'"," '39'"," '15'"," '3'"," '1'"," '146'"," '65'"," '24'"," '19'"," '28'"," '290'"," '271'"," '19'"," '0.19'"," '<0.002'"," '3.7'"," '0.66'",'B'
'Papanasam'," '7.09'"," '6.59'"," '47'"," '2'"," '0.431'"," '0.028'"," '3'"," '13'"," '2.26'"," '<1'"," '8.9'"," '11.5'"," '16'"," '<0.56'"," '<0.28'"," '10'"," '3'"," '0.79'"," '1.72'"," '1.7'"," '31.6'"," '28'"," '3.16'"," '<0.15'"," '<0.002'"," '0.7'"," '<0.01'"," 'A'"
'Cheranmadevi'," '7.09'"," '6.43'"," '77'"," '2'"," '0.533'"," '0.039'"," '14'"," '42'"," '3.6'"," '<1'"," '18'"," '14.9'"," '23'"," '<0.56'"," '<0.28'"," '22'"," '6.7'"," '1.2'"," '4.2'"," '2.6'"," '50'"," '43'"," '5.5'"," '<0.15'"," '<0.002'"," '0.7'"," '<0.01'"," 'A'"
'Kokirakulam'," '6.01'"," '6.52'"," '112'"," '3'"," '0.586'"," '0.084'"," '29'"," '92'"," '3.2'"," '<1'"," '29'"," '16'"," '29'"," '<0.56'"," '<0.28'"," '26'"," '8'"," '1.34'"," '4'"," '4.9'"," '79'"," '71'"," '7.6'"," '<0.15'"," '<0.002'"," '1.8'"," '<0.01'"," 'B'"
'Murapanadu'," '6.88'"," '6.62'"," '195'"," '2.5'"," '0.571'"," '0.036'"," '31'"," '92'"," '2.8'"," '<1'"," '46'"," '35'"," '36'"," '1.73'"," '0.28'"," '73'"," '22'"," '5.2'"," '19'"," '12'"," '124'"," '117'"," '7.3'"," '<0.15'"," '<0.002'"," '2.3'"," '<0.01'"," 'B'"
'Thiruvidaimarudur'," '6.83'"," '6.43'"," '56'"," '2.5'"," '0.541'"," '0.037'"," '9'"," '29'"," '2.67'"," '<1'"," '13.3'"," '12.4'"," '21'"," '0.56'"," '<0.28'"," '16'"," '5.9'"," '1'"," '2.25'"," '1.8'"," '36'"," '31.5'"," '4.5'"," '<0.15'"," '<0.002'"," '0.5'"," '<0.01'"," 'A'"
'Ambasamudram'," '7.11'"," '6.49'"," '49'"," '2'"," '0.376'"," '0.039'"," '6'"," '21'"," '2.9'"," '<1'"," '10.9'"," '11'"," '15'"," '0.39'"," '<0.56'"," '11'"," '3.2'"," '0.73'"," '1.9'"," '1.4'"," '31.6'"," '28'"," '3'"," '<0.15'"," '<0.002'"," '0.5'"," '<0.01'"," 'A'"
'Authoor'," '6.27'"," '6.62'"," '597'"," '3'"," '0.465'"," '0.143'"," '32'"," '96'"," '5'"," '<1'"," '102'"," '129'"," '46'"," '4'"," '0.56'"," '148'"," '47'"," '7.4'"," '44.5'"," '56'"," '383'"," '371'"," '11'"," '<0.15'"," '<0.002'"," '7.4'"," '<0.01'"," 'B'"
'Eral'," '5.62'"," '6.69'"," '311'"," '3'"," '0.71'"," '0.109'"," '47'"," '123'"," '6.8'"," '<1'"," '67'"," '55'"," '42'"," '3'"," '<0.28'"," '107'"," '34'"," '6.5'"," '16'"," '25'"," '200'"," '190'"," '8'"," '<0.15'"," '<0.002'"," '3.8'"," '<0.01'"," 'B'"
'Srivaikuntam'," '6.45'"," '6.72'"," '293'"," '3'"," '1.73'"," '0.058'"," '36'"," '107'"," '2.5'"," '<1'"," '71'"," '47'"," '41'"," '2'"," '0.28'"," '93'"," '27'"," '7.21'"," '20.5'"," '24'"," '181'"," '173'"," '7.8'"," '<0.15'"," '<0.002'"," '2.8'"," '<0.01'",'B'
'Vellakovil'," '5.53'"," '6.50'"," '121'"," '2.4'"," '0.708'"," '0.059'"," '20'"," '62'"," '3'"," '<1'"," '31'"," '19'"," '29'"," '1.15'"," '<0.28'"," '37'"," '12'"," '1.6'"," '4.94'"," '6'"," '78'"," '71.5'"," '6.3'"," '<0.15'"," '<0.002'"," '1.5'"," '<0.01'"," 'B'"
'Sivalaperi'," '5.65'"," '6.58'"," '184'"," '3'"," '0.72'"," '0.092'"," '29'"," '88'"," '3'"," '<1'"," '38'"," '27'"," '35'"," '2'"," '<0.28'"," '59'"," '20'"," '3'"," '8'"," '12'"," '117'"," '109'"," '8'"," '<0.15'"," '<0.002'"," '1.7'"," '<0.01'"," 'B'"
'Vaigai'," '5.95'"," '7.48'"," '854'"," '4'"," '0.97'"," '<0.2'"," '2'"," '4'"," '0.495'"," '1.00'"," '280.00'"," '136.00'"," '40.00'"," '3.60'"," '<0.56'"," '196'"," '38'"," '25'"," '25'"," '68'"," '482'"," '474'"," '8.00'"," '2.00'"," '0.03'"," '13.00'"," '<0.01'"," 'C'"
'Palar'," '5.90'"," '7.60'"," '1120'"," '2'"," '0.50'"," '<0.05'"," '18'"," '40'"," '1.6'"," '<1'"," '377'"," '112'"," '46'"," '5'"," '2.6'"," '241'"," '29'"," '40.5'"," '127'"," '225'"," '780'"," '551'"," '8.5'"," '1'"," '<0.001'"," '7'"," '<0.1'"," 'A'"
'Udhagamandalam'," '4.10'"," '7.10'"," '438'"," '6.1'"," '1.1'"," '3.1'"," '296'"," '256'"," '30.0'"," '<1'"," '134'"," '50'"," '43'"," '6.5'"," '3.0'"," '134'"," '68.6'"," '33.6'"," '6.8'"," '31.0'"," '314'"," '248'"," '35'"," '0.500'"," '<0.002'"," '16.5'"," '1.2'"," 'D'"
'Kodaikanal'," '6.55'"," '6.93'"," '115'"," '3.6'"," '1.0'"," '0.1'"," '52'"," '76'"," '0.6'"," '<1'"," '43'"," '21'"," '39'"," '5.3'"," '3.5'"," '32'"," '10.0'"," '1.9'"," '2.8'"," '10.0'"," '66'"," '58'"," '8'"," '0.160'"," '0.030'"," '0.1'"," '0.18'"," 'C'"
'Yercaud'," '6.20'"," '7.30'"," '400'"," '2.4'"," '0.7'"," '0.2'"," '250'"," '623'"," '17'"," '<1'"," '128'"," '57'"," '23'"," '3.4'"," '2.0'"," '117'"," '59.0'"," '31'"," '4.0'"," '31.0'"," '289'"," '265'"," '25'"," '0.100'"," '<0.002'"," '10.0'"," '0.4'"," 'B'"
'Veeranam'," '5.68'"," '8.07'"," '495'"," '4.0'"," '0.2'"," '0.5'"," '87'"," '231'"," '44'"," '13.0'"," '138'"," '69'"," '26'"," '3.8'"," '1.7'"," '128'"," '46.5'"," '48'"," '19.5'"," '67.8'"," '354'"," '325'"," '43'"," '0.120'"," '<0.002'"," '5.9'"," '0.7'"," 'D'"
'Poondi'," '6.11'"," '7.59'"," '592'"," '4.5'"," '1.86'"," '<0.05'"," '36'"," '238'"," '902'"," '8.0'"," '220'"," '67'"," '45'"," '20'"," '3'"," '200'"," '45.0'"," '29'"," '70.0'"," '135.0'"," '407'"," '248'"," '30'"," '<0.5'"," '<0.001'"," '6.8'"," '<0.1'"," 'D'"
'Red Hills'," '5.70'"," '7.60'"," '988'"," '5.5'"," '<1'"," '<0.05'"," '163'"," '516'"," '5.2'"," '<1'"," '211'"," '146'"," '46'"," '8.6'"," '4'"," '298'"," '86.0'"," '20.0'"," '168.0'"," '179.0'"," '652'"," '512'"," '10'"," '<0.5'"," '<0.001'"," '5.8'"," '<0.1'"," 'D'"
'Porur'," '6.35'"," '7.86'"," '1131'"," '4.3'"," '<1'"," '1.8'"," '170'"," '965'"," '5.2'"," '<1'"," '205'"," '227'"," '42'"," '7.6'"," '5.0'"," '292'"," '60.0'"," '34.0'"," '102.0'"," '167.0'"," '779'"," '585'"," '17'"," '<0.5'"," '<0.001'"," '13.0'"," '<0.1'"," 'D'"
'Pulicate'," '5.40'"," '7.76'"," '75544'"," '4.0'"," '1.8'"," '0.4'"," '379'"," '311'"," '11.9'"," '8.0'"," '266'"," '31391'"," '197'"," '7.4'"," '6.8'"," '6931'"," '1276.0'"," '817.0'"," '2694.0'"," '15176.0'"," '57900'"," '50269'"," '21'"," '0.1'"," '<0.001'"," '400.0'"," '<0.1'"," 'D'"
'Mettur'," '5.80'"," '7.60'"," '353'"," '2.0'"," '0.31'"," '0.260'"," '38'"," '118'"," '14.1'"," '10.0'"," '133'"," '35'"," '16'"," '2.0'"," '0.9'"," '126'"," '46'"," '38'"," '16'"," '24.9'"," '247'"," '230'"," '17'"," '0.15'"," '<0.002'"," '3.04'"," '0.48'"," 'B'"
'Pallipalayam'," '6.09'"," '7.61'"," '465'"," '2.7'"," '0.15'"," '0.090'"," '291'"," '691'"," '16.5'"," '13.8'"," '146'"," '59'"," '25'"," '3.4'"," '1.5'"," '134'"," '53'"," '44'"," '14'"," '43.0'"," '333'"," '284'"," '24'"," '0.30'"," '<0.002'"," '4.30'"," '0.49'"," 'B'"
'Bhavani'," '6.06'"," '7.70'"," '459.4'"," '2'"," '0.310'"," '0.230'"," '105'"," '280'"," '13.3'"," '17'"," '155.6'"," '52'"," '15'"," '3.13'"," '1.40'"," '158'"," '66'"," '52'"," '22'"," '41'"," '331'"," '311'"," '18'"," '0.2'"," '<0.002'"," '4.5'"," '0.550'",'B'
'Bhavani sagar'," '6.07'"," '7.29'"," '194'"," '<2'"," '0.100'"," '0.050'"," '36'"," '107'"," '9'"," '<1'"," '81'"," '18'"," '11'"," '3'"," '1.10'"," '64'"," '32'"," '22'"," '7'"," '13'"," '150'"," '136'"," '13'"," '0.200'"," '<0.002'"," '2.7'"," '0.460'",'B'
'Sirumugai'," '6.50'"," '6.88'"," '228'"," '<2'"," '0.390'"," '0.010'"," '58'"," '144'"," '76'"," '<1'"," '69'"," '18'"," '11.0'"," '2.15'"," '0.93'"," '65'"," '27'"," '25'"," '5'"," '14'"," '137'"," '124'"," '74'"," '0.170'"," '<0.002'"," '2.7'"," '0.570'"," 'B'"
