Name of station,D.O mg/L,pH,Conductivity m mhos/cm,BOD at 27 C mg/L,Nitrate mg/L,Nitrite mg/L,Fecal coliform MPN/100,Total coliform MPN/100,Turbidity NTU,Phenophthaline Alkalinity,Total Alkalinity,Chloride,COD,Total Kjeldahl Nitrogen,"Ammonia-N,as N",Hardness as CaCO3,Calcium as Ca++,Magnesium as Mg++,Sulphate,Sodium,Total Dissolved Solids,Total Fixed Solids,Total Suspended Solids,Phosphate,Boron,Potassium,Fluoride,DBU Class
'Pudur',5.39,7.6,476.0,4.0,0.22,0.2,160.2,401.0,9.7,9.0,158.0,55.0,30.0,4.0,2.0,135.0,48.0,50.0,10.0,48.0,332.0,300.0,17.0,0.16,0.002,4.7,0.61,D
'Vairapalayam',5.76,7.84,458.0,3.0,0.271,0.036,170.0,418.0,9.49,7.3,161.6,59.0,25.0,3.17,1.37,143.0,57.0,51.0,12.0,47.0,332.0,304.0,31.0,0.196,0.002,4.8,0.702,B
'P.Velur',6.49,7.88,568.0,1.0,0.23,0.09,146.0,355.0,16.0,11.0,172.0,79.0,15.0,2.8,1.26,164.0,57.0,65.0,25.0,60.0,384.0,362.0,20.0,0.31,0.002,5.4,0.59,B
'Mohanur',6.22,7.87,643.8,1.0,0.25,0.06,151.0,375.0,15.9,13.0,174.0,92.0,16.0,2.85,1.31,196.0,69.0,82.0,29.0,69.0,447.0,423.0,20.0,0.3,0.002,6.7,0.98,B
'Madathukulam',5.88,7.25,332.0,1.0,0.328,0.011,34.0,88.0,13.5,10.0,103.6,44.9,14.0,2.3,1.0,73.0,65.0,44.0,20.0,22.0,238.0,222.0,21.0,0.146,0.002,2.7,0.709,B
'Thirumukkudal',6.32,8.0,674.0,1.0,0.22,0.01,127.0,311.0,12.0,16.0,180.0,103.0,16.0,3.2,1.22,193.0,72.0,74.0,29.0,79.0,470.0,4447.0,20.0,0.29,0.002,6.9,0.99,B
'Trichy U/S',6.44,7.82,406.0,1.0,0.76,0.07,227.0,648.0,8.7,10.7,143.0,49.0,19.0,2.69,1.23,156.8,76.0,80.0,13.9,36.0,324.8,304.0,11.0,0.12,0.002,5.4,1.04,B
'Trichy D/S',5.8,7.34,483.0,2.0,0.92,0.39,315.0,798.0,23.0,9.33,158.0,62.6,21.0,3.78,1.68,169.0,77.6,92.0,20.0,44.6,355.0,333.6,29.6,0.29,0.002,6.3,1.1,B
'Grand Anaicut',5.7,7.5,456.0,2.2,0.88,0.22,108.1,292.0,13.9,12.0,152.0,55.8,19.0,4.26,1.9,155.6,79.0,76.0,14.0,40.0,337.6,317.6,17.6,0.21,0.002,5.8,0.94,B
'Coleroon',5.9,7.85,25912.0,1.0,0.412,0.033,70.0,190.0,22.0,18.0,145.0,7302.0,85.0,6.0,3.0,2605.0,298.0,1370.0,905.0,3339.0,16872.0,16747.0,26.0,0.289,0.002,108.0,1.94,B
'Pitchavaram',6.2,7.5,3245.0,2.0,0.2,0.3,134.7,331.0,24.0,11.5,234.7,1033.0,35.0,5.0,2.2,487.7,103.0,113.7,129.0,485.0,2153.7,2105.7,30.0,1.0,0.002,30.6,0.6,B
'Karunthattankudi',6.16,7.85,441.0,3.2,0.759,0.045,160.0,390.0,23.0,12.0,149.0,52.0,24.0,3.5,1.7,144.0,74.0,70.0,19.0,39.0,317.0,395.0,30.0,0.122,0.002,5.2,0.49,B
'Komarapalayam',6.32,7.54,421.0,1.0,0.12,0.18,256.0,633.0,15.0,12.0,148.0,49.0,17.0,3.0,1.0,133.0,48.0,46.0,13.0,38.0,298.0,276.0,19.0,0.24,0.002,4.2,0.64,B
'Urrachikottai',6.42,7.99,378.0,1.0,0.16,0.139,76.0,197.0,8.0,18.0,145.0,36.0,15.0,3.0,1.0,136.0,52.0,51.0,14.0,28.0,273.0,255.0,13.0,0.18,0.002,3.5,0.76,B
'Chirampalayam',6.55,7.59,374.0,1.0,0.21,0.263,147.0,418.0,14.0,5.0,142.0,41.0,17.0,3.0,1.0,126.0,50.0,42.0,11.0,29.0,269.0,249.0,17.0,0.17,0.002,3.6,0.45,B
'Pugalur',6.45,8.0,636.0,1.0,0.2,0.056,125.0,312.0,15.0,15.0,169.0,89.0,17.0,3.0,1.0,194.0,69.0,65.0,32.0,67.0,441.0,419.0,17.0,0.31,0.002,6.5,0.9,B
'Pettavaithalai',6.24,7.92,485.0,1.0,0.7,0.043,196.0,514.0,10.0,15.0,171.0,63.0,16.0,2.0,1.0,177.0,90.0,107.0,21.0,45.0,363.0,342.0,14.0,0.19,0.002,6.1,1.16,B
'Kumbakonam',6.28,7.93,355.0,2.0,0.93,0.022,130.0,344.0,15.0,9.0,136.0,41.0,19.0,3.0,1.0,130.0,68.0,62.0,12.0,29.0,268.0,247.0,20.0,0.18,0.002,4.2,0.33,B
'Mayiladurai',5.94,7.65,578.0,1.0,1.16,0.1648,67.0,135.0,9.0,21.0,206.0,66.0,14.0,3.0,1.0,194.0,78.0,75.0,14.0,58.0,409.0,390.0,14.0,0.094,0.002,6.2,0.85,B
'Sathiyamanagalam',6.12,7.37,226.0,1.0,0.15,0.083,29.0,81.0,16.0,1.0,90.0,23.0,14.0,2.0,1.0,81.0,36.0,29.0,10.0,16.0,177.0,162.0,14.0,0.21,0.002,3.4,0.54,B
'Thirumanimuthar (Borewell)',6.08,7.49,4927.0,4.0,3.17,0.428,7009.0,14187.0,9.0,42.0,443.0,1442.0,58.0,4.0,2.0,1209.0,344.0,404.0,109.0,438.0,2812.0,3178.0,551.0,2.0,0.002,17.0,1.58,D
