Station Code,Location,State,Temp Min,Temp Max,Dissoved Oxygen Min,Dissoved Oxygen Max,pH Min,pH Max,Conductivity Min,Conductivity Max,BOD Min,BOD Max,Nitrate Min,Nitrate Max,Fecal Coliform Min,Fecal Coliform Max,Total Coliform Min,Total Coliform Max
1002.0,"BEAS AT D/S KULU, H.P.",HIMACHAL PRADESH,5,14,7.4,9.8,7.8,8.2,79,219,0.1,0.4,0.3,1.08,25.0,63.0,220.0,540.0
1003.0,"BEAS AT D/S AUT, H.P.",HIMACHAL PRADESH,5,15,7.3,11.0,7.6,8.4,84,167,0.1,1.6,0.3,1.13,2.0,34.0,2.0,280.0
1004.0,"BEAS AT U/S PANDON DAM, H.P.",HIMACHAL PRADESH,9,25,8.3,11.3,7.3,8.5,69,232,0.1,0.3,0.3,0.98,17.0,33.0,130.0,240.0
1005.0,"BEAS AT EXIT OF TUNNEL DEHAL POWER HOUSE, H.P.",HIMACHAL PRADESH,8,22,8.5,11.6,7.9,8.4,100,304,0.1,0.4,0.3,0.44,21.0,34.0,130.0,350.0
1006.0,"BEAS AT D/S MANDI, H.P.",HIMACHAL PRADESH,10,26,6.9,12.0,7.7,8.3,93,310,0.1,0.4,0.3,0.71,20.0,43.0,170.0,430.0
1007.0,"BEAS AT D/S ALAMPUR, H.P.",HIMACHAL PRADESH,10,19,7.2,8.7,6.9,8.3,138,402,0.1,0.8,0.1,1.47,2.0,7.0,79.0,210.0
1008.0,"BEAS AT D/S DEHRAGOPIPUR, H.P.",HIMACHAL PRADESH,12,18,6.7,8.7,7.2,8.4,141,448,0.1,0.8,0.28,2.34,2.0,6.0,70.0,220.0
1009.0,"BEAS AT D/S PONG DAM, H.P.",HIMACHAL PRADESH,11,18,6.9,8.8,6.9,8.2,153,528,0.1,0.4,0.18,2.77,2.0,6.0,63.0,220.0
1550.0,"U/S MANDI, H.P",HIMACHAL PRADESH,9,24,7.2,10.8,7.6,8.3,79,218,0.1,0.1,0.3,0.73,13.0,27.0,110.0,210.0
2601.0,BEAS AT D/S MANALI,HIMACHAL PRADESH,4,12,5.2,10.5,7.6,8.5,86,162,0.1,0.4,0.3,0.84,21.0,94.0,210.0,430.0
2602.0,BEAS AT U/S KULLU,HIMACHAL PRADESH,5,14,7.4,9.9,7.8,8.3,87,734,0.1,0.3,0.3,0.99,21.0,43.0,150.0,430.0
2603.0,BEAS AT D/S PANDOH DAM,HIMACHAL PRADESH,9,25,6.7,11.4,7.0,8.4,73,222,0.1,0.4,0.3,0.98,21.0,43.0,150.0,280.0
2604.0,BEAS AT D/S JAISINGHPUR,HIMACHAL PRADESH,10,19,7.0,8.7,6.9,8.3,139,406,0.2,0.7,0.25,1.29,2.0,6.0,79.0,280.0
3855.0,"RIVER BEAS D/S NADAUN BRIDGE, VILL BHADOLI",HIMACHAL PRADESH,12,18,6.5,8.7,7.4,8.5,151,493,0.1,0.6,0.11,2.61,2.0,6.0,79.0,280.0
1010.0,"BEAS AT MIRTHAL BRIDGE, GURDASPUR, PUNJAB",PUNJAB,12,36,7.3,7.8,7.2,8.2,200,356,1.0,1.4,0.4,1.5,70.0,220.0,110.0,280.0
1011.0,"BEAS AT G.T. ROAD UNDER BDG. NEAR KAPURTHALA, PUNJA",PUNJAB,12,36,7.1,7.7,7.3,7.9,198,272,1.2,1.6,0.8,1.4,110.0,460.0,220.0,630.0
1012.0,BEAS AT 100M D/S INDUST. DISCH. GOINDWAL PUNJAB,PUNJAB,13,39,7.0,8.3,7.2,7.9,180,299,1.2,1.7,0.9,1.4,79.0,360.0,170.0,630.0
1294.0,"BEAS AT 1KM.D/S OF EFFL. DISH. POINT AT MUKERIAN ,",PUNJAB,13,36,6.8,7.4,7.2,8.0,224,310,1.6,2.5,0.9,1.8,130.0,610.0,280.0,3500.0
1693.0,"BEAS AT TALWARA H/W, PUNJAB",PUNJAB,12,27,7.5,8.1,7.2,7.8,186,266,0.0,1.1,0.3,0.8,33.0,79.0,70.0,110.0
1694.0,"U/S PATHANKOT, PUNJAB",PUNJAB,13,33,7.0,7.9,7.0,8.3,196,268,0.0,1.4,0.5,1.4,70.0,230.0,110.0,460.0
1695.0,"D/S PATHANKOT, PUNJAB",PUNJAB,13,35,6.6,7.6,7.1,8.0,218,290,1.1,2.0,0.8,1.8,70.0,460.0,120.0,630.0
1696.0,"U/S GOINDWAL, PUNJAB",PUNJAB,14,39,7.4,7.9,7.2,8.0,188,270,1.1,1.5,0.8,1.4,79.0,280.0,140.0,580.0
1697.0,"BEAS AT HARIKE, PUNJAB",PUNJAB,12,32,6.7,8.3,7.3,7.9,220,282,1.2,1.9,0.7,1.4,110.0,430.0,220.0,630.0
2913.0,"KALI BEIN FALLING INTO RIVER BEAS, PUNJAB",PUNJAB,13,29,4.1,6.3,7.0,7.8,285,565,1.7,6.0,1.3,1.9,460.0,1700.0,940.0,3900.0
4164.0,"BEAS RIVER, NR VILL KIRI AFGHANA, TEHSIL BATALA",PUNJAB,15,37,7.1,7.4,7.3,7.9,259,340,1.3,1.9,0.9,1.7,350.0,790.0,540.0,1400.0
4165.0,"BEAS RIVER, NR VILL KIRI AFGHANA, TEHSIL BATALA",PUNJAB,26,27,4.5,6.4,7.7,8.7,990,2300,0.7,2.4,2.46,3.14,3.0,4.0,4.0,11.0
2611.0,SUTLEJ AT KHAB,HIMACHAL PRADESH,7,13,9.4,10.1,7.4,8.5,102,297,0.3,1.6,0.3,1.58,4.0,17.0,12.0,46.0
1389.0,"SUTLEJ AT NEPTHA ZAKHAI, H.P",HIMACHAL PRADESH,8,16,8.8,9.6,6.8,8.5,98,199,0.2,2.1,0.3,13.5,14.0,39.0,32.0,220.0
1086.0,"SUTLEJ AT U/S RAMPUR, H.P.",HIMACHAL PRADESH,9,18,8.0,9.6,,,95,200,0.1,2.0,0.08,13.1,6.0,84.0,17.0,220.0
1087.0,"SUTLEJ AT D/S RAMPUR, H.P.",HIMACHAL PRADESH,9,18,8.0,9.6,7.2,8.5,56,217,0.2,1.8,0.06,7.07,12.0,110.0,33.0,540.0
